Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
65,-62.5275,-11.8494,0.2435,0.7,0.0,4.025,0.0,0.0,0.1472,0.0
66,-62.1079,-11.8375,0.2461,0.7,0.0,3.9722,0.0,0.0,0.1537,0.0
67,-62.3975,-11.8227,0.2488,0.7,0.0,4.0296,0.0,0.0,0.1602,0.0
68,-62.3496,-11.7947,0.2514,0.7,0.0,3.9861,0.0,0.0,0.1676,0.0
69,-62.598,-11.8636,0.2539,0.7,0.0,4.0065,0.0,0.0,0.1741,0.0
70,-62.1449,-11.8253,0.2564,0.7,0.0,4.0102,0.0,0.0,0.1806,0.0
71,-62.1934,-11.8521,0.259,0.7,0.0,4.0028,0.0,0.0,0.188,0.0
72,-61.9291,-11.8761,0.2615,0.7,0.0,3.9713,0.0,0.0,0.1954,0.0
73,-62.0197,-11.8337,0.2639,0.7,0.0,4.0444,0.0,0.0,0.2019,0.0
74,-62.2641,-11.8395,0.2664,0.7,0.0,4.0241,0.0,0.0,0.2093,0.0
75,-62.2557,-11.8219,0.2688,0.7,0.0,4.0111,0.0,0.0,0.2167,0.0
76,-62.2432,-11.8224,0.2713,0.7,0.0,4.0093,0.0,0.0,0.2241,0.0
77,-61.6999,-11.8584,0.2737,0.7,0.0,3.9741,0.0,0.0,0.2324,0.0
78,-61.6313,-11.8031,0.2761,0.7,0.0,3.975,0.0,0.0,0.2398,0.0
79,-62.2031,-11.8309,0.2784,0.7,0.0,3.9917,0.0,0.0,0.2472,0.0
80,-62.4182,-11.9058,0.2807,0.7,0.0,4.0417,0.0,0.0,0.2556,0.0
81,-61.9119,-11.8637,0.283,0.7,0.0,4.063,0.0,0.0,0.263,0.0
82,-62.4569,-11.7504,0.2853,0.7,0.0,3.9917,0.0,0.0,0.2713,0.0
83,-62.2587,-11.8334,0.2875,0.7,0.0,3.9898,0.0,0.0,0.2787,0.0
84,-62.5976,-11.8599,0.2897,0.7,0.0,3.9759,0.0,0.0,0.287,0.0
85,-62.4314,-11.8133,0.292,0.7,0.0,3.9917,0.0,0.0,0.2954,0.0
86,-62.1857,-11.8391,0.2942,0.7,0.0,3.9657,0.0,0.0,0.3037,0.0
87,-62.1239,-11.8013,0.2964,0.7,0.0,4.0093,0.0,0.0,0.312,0.0
88,-62.194,-11.8522,0.2985,0.7,0.0,4.0019,0.0,0.0,0.3204,0.0
89,-62.1606,-11.828,0.3007,0.7,0.0,4.0093,0.0,0.0,0.3287,0.0
90,-62.364,-11.8903,0.3027,0.7,0.0,4.0185,0.0,0.0,0.337,0.0
91,-62.3471,-11.8227,0.3049,0.7,0.0,4.0204,0.0,0.0,0.3454,0.0
92,-61.7458,-11.8475,0.3069,0.7,0.0,3.9769,0.0,0.0,0.3546,0.0
93,-62.4882,-11.8201,0.309,0.7,0.0,3.9806,0.0,0.0,0.363,0.0
94,-62.1816,-11.8597,0.3111,0.7,0.0,4.0028,0.0,0.0,0.3722,0.0
95,-62.1917,-11.8247,0.313,0.7,0.0,3.9685,0.0,0.0,0.3806,0.0
96,-62.474,-11.7956,0.315,0.7,0.0,3.9676,0.0,0.0,0.3898,0.0
97,-62.5521,-11.811,0.317,0.7,0.0,3.9398,0.0,0.0,0.3981,0.0
98,-62.0437,-11.8454,0.3189,0.7,0.0,4.0037,0.0,0.0,0.4074,0.0
99,-62.2953,-11.8727,0.3208,0.7,0.0,4.0556,0.0,0.0,0.4167,0.0
100,-62.1449,-11.851,0.3227,0.7,0.0,4.0194,0.0,0.0,0.425,0.0
101,-62.404,-11.8274,0.3246,0.7,0.0,4.0639,0.0,0.0,0.4343,0.0
102,-62.3023,-11.8188,0.3264,0.7,0.0,3.9843,0.0,0.0,0.4435,0.0
103,-61.6476,-11.8334,0.3282,0.7,0.0,3.9889,0.0,0.0,0.4528,0.0
104,-62.4042,-11.8397,0.3301,0.7,0.0,4.0019,0.0,0.0,0.462,0.0
105,-62.2721,-11.8873,0.3319,0.7,0.0,4.0167,0.0,0.0,0.4713,0.0
106,-62.2652,-11.7787,0.3337,0.7,0.0,4.0139,0.0,0.0,0.4806,0.0
107,-62.3361,-11.7944,0.3355,0.7,0.0,4.0343,0.0,0.0,0.4898,0.0
108,-62.2823,-11.8742,0.3373,0.7,0.0,3.9852,0.0,0.0,0.4991,0.0
109,-62.3801,-11.802,0.339,0.7,0.0,4.05,0.0,0.0,0.5083,0.0
110,-62.5269,-11.8479,0.3407,0.7,0.0,4.0306,0.0,0.0,0.5176,0.0
111,-62.292,-11.8391,0.3424,0.7,0.0,3.9917,0.0,0.0,0.5269,0.0
112,-62.0684,-11.8294,0.3441,0.7,0.0,3.9981,0.0,0.0,0.537,0.0
113,-61.9287,-11.8454,0.3458,0.7,0.0,4.0426,0.0,0.0,0.5463,0.0
114,-61.5975,-11.8613,0.3473,0.7,0.0,3.987,0.0,0.0,0.5556,0.0
115,-62.0868,-11.8642,0.349,0.7,0.0,4.0056,0.0,0.0,0.5657,0.0
116,-61.8288,-11.8213,0.3506,0.7,0.0,4.0083,0.0,0.0,0.575,0.0
117,-62.1174,-11.835,0.3522,0.7,0.0,4.0037,0.0,0.0,0.5843,0.0
118,-62.1948,-11.9133,0.3538,0.7,0.0,3.9694,0.0,0.0,0.5944,0.0
119,-62.0216,-11.8302,0.3553,0.7,0.0,4.0343,0.0,0.0,0.6037,0.0
120,-62.322,-11.7985,0.3568,0.7,0.0,3.9389,0.0,0.0,0.6139,0.0
121,-62.4916,-11.8666,0.3584,0.7,0.0,4.012,0.0,0.0,0.6231,0.0
122,-62.7411,-11.8186,0.3599,0.7,0.0,3.9657,0.0,0.0,0.6333,0.0
123,-62.3608,-11.8149,0.3614,0.7,0.0,4.0139,0.0,0.0,0.6426,0.0
124,-62.2337,-11.8376,0.3629,0.7,0.0,3.9704,0.0,0.0,0.6528,0.0
125,-61.6732,-11.8034,0.3644,0.7,0.0,4.037,0.0,0.0,0.662,0.0
126,-62.3922,-11.8291,0.366,0.7,0.0,4.0037,0.0,0.0,0.6722,0.0
127,-62.4211,-11.8365,0.3674,0.7,0.0,4.0185,0.0,0.0,0.6815,0.0
128,-62.0324,-11.8296,0.3688,0.7,0.0,4.0083,0.0,0.0,0.6917,0.0
129,-62.4899,-11.7883,0.3703,0.7,0.0,3.9889,0.0,0.0,0.7019,0.0
130,-62.6349,-11.8479,0.3717,0.7,0.0,3.9917,0.0,0.0,0.7111,0.0
131,-62.0144,-11.8247,0.3731,0.7,0.0,4.0074,0.0,0.0,0.7213,0.0
132,-61.7732,-11.8545,0.3744,0.7,0.0,4.0324,0.0,0.0,0.7315,0.0
133,-62.3109,-11.8443,0.3758,0.7,0.0,4.0028,0.0,0.0,0.7407,0.0
134,-62.3441,-11.8032,0.3772,0.7,0.0,4.0231,0.0,0.0,0.7509,0.0
135,-61.5388,-11.8363,0.3785,0.7,0.0,4.0185,0.0,0.0,0.7611,0.0
136,-62.4362,-11.8414,0.3798,0.7,0.0,4.0231,0.0,0.0,0.7704,0.0
137,-62.316,-11.7912,0.3811,0.7,0.0,3.9917,0.0,0.0,0.7806,0.0
138,-62.4854,-11.8268,0.3824,0.7,0.0,3.9935,0.0,0.0,0.7907,0.0
139,-62.3466,-11.8267,0.3837,0.7,0.0,4.0,0.0,0.0,0.8009,0.0
140,-61.951,-11.8187,0.3849,0.7,0.0,3.9963,0.0,0.0,0.8102,0.0
141,-62.4059,-11.8561,0.3862,0.7,0.0,3.9796,0.0,0.0,0.8204,0.0
142,-62.1172,-11.8272,0.3874,0.7,0.0,4.0102,0.0,0.0,0.8306,0.0
143,-62.309,-11.8597,0.3886,0.7,0.0,3.9861,0.0,0.0,0.8407,0.0
144,-62.067,-11.9048,0.3897,0.7,0.0,3.9509,0.0,0.0,0.85,0.0
145,-62.772,-11.8267,0.391,0.7,0.0,4.0,0.0,0.0,0.8602,0.0
146,-62.8103,-11.8088,0.3922,0.7,0.0,3.975,0.0,0.0,0.8704,0.0
147,-62.1072,-11.7813,0.3933,0.7,0.0,4.0306,0.0,0.0,0.8806,0.0
148,-62.1023,-11.8787,0.3944,0.7,0.0,4.0,0.0,0.0,0.8898,0.0
149,-62.2228,-11.7806,0.3956,0.7,0.0,4.0204,0.0,0.0,0.9,0.0
150,-61.6782,-11.8624,0.3967,0.7,0.0,4.0019,0.0,0.0,0.9102,0.0
151,-62.5915,-11.8435,0.3979,0.7,0.0,4.0176,0.0,0.0,0.9204,0.0
152,-61.983,-11.7529,0.399,0.7,0.0,4.0657,0.0,0.0,0.9306,0.0
153,-62.7405,-11.771,0.4002,0.7,0.0,3.9907,0.0,0.0,0.9398,0.0
154,-62.4218,-11.8582,0.4012,0.7,0.0,4.0139,0.0,0.0,0.95,0.0
155,-62.4329,-11.8002,0.4024,0.7,0.0,3.9954,0.0009,0.0,0.9602,0.0
156,-62.1405,-11.8385,0.4034,0.7,0.0,3.9898,0.0009,0.0,0.9704,0.0
157,-62.2127,-11.8239,0.4044,0.7,0.0,3.9602,0.0019,0.0,0.9806,0.0
158,-62.3358,-11.8687,0.4055,0.7,0.0,3.9361,0.0019,0.0,0.9898,0.0
159,-62.429,-11.8643,0.4065,0.7,0.0,3.9889,0.0028,0.0,1.0,0.0
160,-62.6658,-11.7658,0.4076,0.7,0.0,3.9111,0.0028,0.0,1.0102,0.0
161,-62.4985,-11.8399,0.4086,0.7,0.0,4.0194,0.0037,0.0,1.0204,0.0
162,-62.6094,-11.7447,0.4097,0.7,0.0,3.9704,0.0046,0.0,1.0296,0.0
163,-62.474,-11.7881,0.4107,0.7,0.0,4.0,0.0056,0.0,1.0398,0.0
164,-62.3336,-11.8477,0.4116,0.7,0.0,3.9546,0.0065,0.0,1.05,0.0
165,-62.3209,-11.8365,0.4126,0.7,0.0,4.0194,0.0074,0.0,1.0602,0.0
166,-62.1059,-11.8617,0.4136,0.7,0.0,3.9861,0.0083,0.0,1.0704,0.0
167,-61.9679,-11.8627,0.4146,0.7,0.0,3.9259,0.0102,0.0,1.0796,0.0
168,-61.3995,-11.8162,0.4155,0.7,0.0,4.0176,0.0111,0.0,1.0898,0.0
169,-62.6498,-11.7737,0.4164,0.7,0.0,3.9731,0.013,0.0,1.1,0.0
170,-62.2176,-11.8053,0.4174,0.7,0.0,4.0093,0.0139,0.0,1.1102,0.0
171,-61.9632,-11.834,0.4183,0.7,0.0,3.9972,0.0157,0.0,1.1194,0.0
172,-62.5638,-11.8409,0.4192,0.7,0.0,3.9583,0.0176,0.0,1.1296,0.0
173,-62.2431,-11.8361,0.4201,0.7,0.0,3.9741,0.0194,0.0,1.1398,0.0
174,-62.0368,-11.8898,0.421,0.7,0.0,4.0019,0.0213,0.0,1.15,0.0
175,-62.2336,-11.8496,0.4219,0.7,0.0,4.0519,0.0231,0.0,1.1593,0.0
176,-62.4869,-11.8481,0.4228,0.7,0.0,4.0296,0.025,0.0,1.1694,0.0
177,-62.2258,-11.7786,0.4237,0.7,0.0,3.9944,0.0269,0.0,1.1796,0.0
178,-62.2958,-11.8152,0.4245,0.7,0.0,3.9639,0.0296,0.0,1.1889,0.0
179,-62.3748,-11.8299,0.4254,0.7,0.0,3.9546,0.0315,0.0,1.1991,0.0
180,-62.0333,-11.788,0.4262,0.7,0.0,3.9556,0.0343,0.0,1.2093,0.0
181,-62.0702,-11.8468,0.4271,0.7,0.0,4.0102,0.0361,0.0,1.2185,0.0
182,-62.7913,-11.8159,0.428,0.7,0.0,3.9407,0.0389,0.0,1.2287,0.0
