Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
63,-58.1433,-12.0335,0.3278,0.7,0.525,3.9325,14.09,14.09,14.2775,14.2775
64,-58.6637,-12.0604,0.3314,0.7,0.30375,3.9375,14.09,14.09,14.2775,14.2775
65,-59.0763,-11.9969,0.3353,0.7,0.41625,3.9775,14.09,14.09,14.2775,14.2775
66,-60.3161,-12.1724,0.3389,0.7,0.255,3.945,14.09,14.09,14.2775,14.2775
67,-61.6392,-12.2267,0.3426,0.7,0.1875,3.99,14.09,14.09,14.2775,14.2775
68,-61.8348,-12.2763,0.3462,0.7,0.1275,4.0575,14.09,14.09,14.2775,14.2775
69,-62.0733,-12.2684,0.3497,0.7,0.08625,3.9775,14.09,14.09,14.2775,14.2775
70,-62.4207,-12.1878,0.3532,0.7,0.19875,3.965,14.09,14.09,14.2775,14.2775
71,-62.8073,-12.2179,0.3567,0.7,0.06,4.065,14.09,14.09,14.2775,14.2775
72,-62.6418,-12.1863,0.3603,0.7,0.0675,3.9925,14.09,14.09,14.2775,14.2775
73,-63.452,-12.1147,0.3638,0.7,0.10875,4.07,14.09,14.09,14.2775,14.2775
74,-63.9514,-12.0777,0.3672,0.7,0.07875,4.03,14.09,14.09,14.2775,14.2775
75,-64.3716,-12.0406,0.3705,0.7,0.015,4.0525,14.09,14.09,14.2775,14.2775
76,-64.229,-12.0577,0.3738,0.7,0.10125,4.0275,14.09,14.09,14.2775,14.2775
77,-64.565,-11.8807,0.3773,0.7,0.0825,3.9875,14.09,14.09,14.2775,14.2775
78,-64.6948,-11.9222,0.3807,0.7,0.10125,4.0425,14.09,14.09,14.2775,14.2775
79,-64.9186,-11.8452,0.3839,0.7,0.1125,3.9925,14.09,14.09,14.2775,14.2775
80,-64.7858,-11.7739,0.3872,0.7,0.22125,4.1125,14.09,14.09,14.2775,14.2775
81,-64.8342,-11.6411,0.3903,0.7,0.12375,3.9825,14.09,14.09,14.2775,14.2775
82,-64.9301,-11.4918,0.3934,0.7,0.345,4.085,14.09,14.09,14.2775,14.2775
83,-65.5477,-11.5442,0.3966,0.7,0.26625,4.01,14.09,14.09,14.2775,14.2775
84,-65.3195,-11.3578,0.3995,0.7,0.3825,3.985,14.09,14.09,14.2775,14.2775
85,-65.3487,-11.2727,0.4026,0.7,0.30375,4.0575,14.09,14.09,14.2775,14.2775
86,-65.1906,-11.3142,0.4055,0.7,0.24375,3.96,14.09,14.09,14.2775,14.2775
87,-65.2653,-11.2749,0.4086,0.7,0.345,3.9675,14.09,14.09,14.2775,14.2775
88,-64.7399,-11.1578,0.4114,0.7,0.42,3.9075,14.09,14.09,14.2775,14.2775
89,-64.5286,-11.0559,0.4145,0.7,0.4125,3.95,14.09,14.09,14.2775,14.2775
90,-64.5677,-10.9587,0.4174,0.7,0.5475,3.935,14.09,14.09,14.2775,14.2775
91,-64.1649,-10.736,0.4202,0.7,0.58875,3.9425,14.09,14.09,14.2775,14.2775
92,-64.1948,-10.5387,0.4232,0.7,0.55125,4.0375,14.09,14.09,14.2775,14.2775
93,-62.0287,-10.4894,0.4259,0.7,0.9975,4.0475,14.09,14.09,14.2775,14.2775
94,-61.8308,-10.3723,0.4286,0.7,1.5975,4.035,14.09,14.09,14.2775,14.2775
95,-61.9383,-10.0947,0.4314,0.7,2.87625,3.9875,14.09,14.09,14.2775,14.2775
96,-60.5245,-10.1858,0.4339,0.7,3.01125,3.985,14.09,14.09,14.2775,14.2775
97,-58.3515,-10.161,0.4365,0.7,3.3525,4.1175,14.09,14.09,14.2775,14.2775
98,-55.5204,-10.6065,0.4388,0.7,2.40375,4.0225,14.09,14.09,14.2775,14.2775
99,-55.1626,-11.1217,0.441,0.7,1.81125,3.9625,14.09,14.09,14.2775,14.2775
100,-54.7321,-11.3633,0.4435,0.7,1.28625,3.9725,14.09,14.09,14.2775,14.2775
101,-56.205,-11.5305,0.4459,0.7,1.08375,4.1225,14.09,14.09,14.2775,14.2775
102,-57.4621,-11.7263,0.4483,0.7,0.69,4.07,14.09,14.09,14.2775,14.2775
103,-59.0441,-12.0376,0.4507,0.7,0.49875,3.9425,14.09,14.09,14.2775,14.2775
104,-60.5313,-12.1424,0.4532,0.7,0.36,3.94,14.09,14.09,14.2775,14.2775
