Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
1,-61.382,-12.218,0.0049,0.6964,0.22023809523809523,3.973015873015873,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
2,-61.5057,-12.2352,0.0119,0.6964,0.12976190476190477,4.01984126984127,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
3,-62.3501,-12.2616,0.0189,0.6964,0.14404761904761904,3.9571428571428573,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
4,-62.4831,-12.2229,0.0258,0.6964,0.1130952380952381,4.0,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
5,-62.8793,-12.2211,0.0326,0.6964,0.10476190476190476,3.992857142857143,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
6,-63.4297,-12.176,0.0394,0.6964,0.10357142857142858,4.038095238095238,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
7,-63.7529,-12.1396,0.0461,0.6964,0.05714285714285714,4.019047619047619,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
8,-64.0855,-12.0716,0.0528,0.6964,0.11190476190476191,3.9896825396825397,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
9,-64.4311,-11.9956,0.0593,0.6964,0.0880952380952381,3.9825396825396826,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
10,-64.6932,-11.9418,0.0658,0.6964,0.10238095238095238,4.011904761904762,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
11,-64.9585,-11.8275,0.0722,0.6964,0.14404761904761904,4.037301587301587,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
12,-65.0772,-11.7191,0.0785,0.6964,0.12857142857142856,3.9357142857142855,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
13,-65.0406,-11.5992,0.0848,0.6964,0.15833333333333333,4.016666666666667,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
14,-65.5386,-11.4865,0.0911,0.6964,0.21428571428571427,3.937301587301587,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
15,-65.3822,-11.3659,0.0972,0.6964,0.20714285714285716,3.9714285714285715,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
16,-65.0973,-11.2144,0.1033,0.6964,0.42738095238095236,4.012698412698413,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
17,-65.417,-11.0827,0.1092,0.6964,0.37142857142857144,3.9571428571428573,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
18,-65.0664,-11.0241,0.1151,0.6964,0.5571428571428572,4.035714285714286,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
19,-64.3284,-10.9115,0.121,0.6964,0.5095238095238095,3.9595238095238097,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
20,-64.4239,-10.8235,0.1268,0.6964,0.530952380952381,4.012698412698413,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
21,-63.8187,-10.7251,0.1325,0.6964,0.4976190476190476,4.022222222222222,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
22,-63.6204,-10.7078,0.1383,0.6964,0.5976190476190476,4.029365079365079,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
23,-63.0113,-10.642,0.1439,0.6964,0.6345238095238095,3.996031746031746,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
24,-62.9846,-10.5058,0.1496,0.6964,1.0011904761904762,3.996031746031746,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
25,-62.5716,-10.4638,0.1552,0.6964,1.0214285714285714,3.984126984126984,14.606349206349206,14.606349206349206,14.566666666666666,14.566666666666666
